level	metric	value	source_file	notes
translational_reference_atlas	number_of_samples_included	10201	results/tables/tcga_sample_reference_atlas_qc_summary.tsv	
translational_reference_atlas	number_of_patients_included	10130	results/tables/tcga_sample_reference_atlas_qc_summary.tsv	
translational_reference_atlas	number_of_projects_represented	33	results/tables/tcga_sample_reference_atlas_qc_summary.tsv	
translational_reference_atlas	number_of_raw_features	97	results/tables/tcga_sample_reference_atlas_qc_summary.tsv	
translational_reference_atlas	number_of_retained_features	97	results/tables/tcga_sample_reference_atlas_qc_summary.tsv	
translational_reference_atlas	number_of_dropped_features	0	results/tables/tcga_sample_reference_atlas_qc_summary.tsv	
translational_reference_atlas	dropped_features	none	results/tables/tcga_sample_reference_atlas_qc_summary.tsv	
translational_reference_atlas	number_of_imputed_values	23222	results/tables/tcga_sample_reference_atlas_qc_summary.tsv	
translational_reference_atlas	nearest_neighbor_metrics	euclidean;cosine	results/tables/tcga_sample_reference_atlas_qc_summary.tsv	
translational_reference_atlas	default_nearest_neighbor_metric	euclidean	results/tables/tcga_sample_reference_atlas_qc_summary.tsv	
translational_reference_atlas	nearest_neighbor_index_built	True	results/tables/tcga_sample_reference_atlas_qc_summary.tsv	
translational_reference_atlas	pca_built	True	results/tables/tcga_sample_reference_atlas_qc_summary.tsv	
clinical_projection_example	number_of_expected_reference_features	97	results/clinical_projection/example_cup_case/clinical_projection_qc_summary.tsv	
clinical_projection_example	number_of_clinical_features_supplied	77	results/clinical_projection/example_cup_case/clinical_projection_qc_summary.tsv	
clinical_projection_example	number_of_missing_clinical_features	20	results/clinical_projection/example_cup_case/clinical_projection_qc_summary.tsv	
clinical_projection_example	percent_feature_coverage	79.381	results/clinical_projection/example_cup_case/clinical_projection_qc_summary.tsv	
clinical_projection_example	number_of_extra_clinical_features_ignored	4	results/clinical_projection/example_cup_case/clinical_projection_qc_summary.tsv	
clinical_projection_example	nearest_neighbor_metric	euclidean	results/clinical_projection/example_cup_case/clinical_projection_qc_summary.tsv	
clinical_projection_example	nearest_neighbor_method	saved_nearest_neighbor_index	results/clinical_projection/example_cup_case/clinical_projection_qc_summary.tsv	
clinical_projection_example	top_k_neighbors_returned	50	results/clinical_projection/example_cup_case/clinical_projection_qc_summary.tsv	
clinical_projection_example	PCA_model_reused_without_refit	True	results/clinical_projection/example_cup_case/clinical_projection_qc_summary.tsv	
clinical_projection_example	projection_status	success_with_reference_median_imputation	results/clinical_projection/example_cup_case/clinical_projection_qc_summary.tsv	
clinical_projection_example	wes_number_of_expected_reference_features	66	results/clinical_projection/example_cup_case/clinical_projection_qc_summary.tsv	
clinical_projection_example	wes_number_of_clinical_features_supplied	66	results/clinical_projection/example_cup_case/clinical_projection_qc_summary.tsv	
clinical_projection_example	wts_number_of_expected_reference_features	31	results/clinical_projection/example_cup_case/clinical_projection_qc_summary.tsv	
clinical_projection_example	wts_number_of_clinical_features_supplied	11	results/clinical_projection/example_cup_case/clinical_projection_qc_summary.tsv	
cup_interpretation_example	top_lineage	lower_GI	results/clinical_projection/example_cup_case/cup_interpretation/cup_ranked_lineage_interpretation.tsv	
cup_interpretation_example	top_lineage_score	0.5701127836271324	results/clinical_projection/example_cup_case/cup_interpretation/cup_ranked_lineage_interpretation.tsv	
cup_interpretation_example	top_lineage_confidence_tier	moderate_support	results/clinical_projection/example_cup_case/cup_interpretation/cup_ranked_lineage_interpretation.tsv	
cup_interpretation_example	ambiguity_class	moderate_ambiguity	results/clinical_projection/example_cup_case/cup_interpretation/cup_ambiguity_metrics.tsv	
cup_interpretation_example	top1_top2_margin	0.2609014212684999	results/clinical_projection/example_cup_case/cup_interpretation/cup_ambiguity_metrics.tsv	
cup_interpretation_example	entropy_like_score	0.7371942615412224	results/clinical_projection/example_cup_case/cup_interpretation/cup_ambiguity_metrics.tsv	
cup_interpretation_example	molecular_pathologic_concordance	not_assessable	results/clinical_projection/example_cup_case/cup_interpretation/cup_molecular_pathologic_concordance.tsv	
cup_interpretation_example	evidence_categories_generated	8	results/clinical_projection/example_cup_case/cup_interpretation/cup_molecular_evidence_table.tsv	
level3_allele_specific_cn_readiness	candidate_local_allele_specific_cn_files_found	0	results/tables/level3_allele_specific_cn_readiness_qc_summary.tsv	
level3_allele_specific_cn_readiness	samples_with_major_cn	0	results/tables/level3_allele_specific_cn_readiness_qc_summary.tsv	
level3_allele_specific_cn_readiness	samples_with_minor_cn	0	results/tables/level3_allele_specific_cn_readiness_qc_summary.tsv	
level3_allele_specific_cn_readiness	samples_ready_for_pyclone_vi	0	results/tables/level3_allele_specific_cn_readiness_qc_summary.tsv	
level3_allele_specific_cn_readiness	samples_ready_for_phylowgs	0	results/tables/level3_allele_specific_cn_readiness_qc_summary.tsv	
level3_allele_specific_cn_readiness	samples_requiring_external_allele_specific_cn_inference	84	results/tables/level3_allele_specific_cn_readiness_qc_summary.tsv	
