sample_barcode	patient_barcode	project_id	project_code	recommended_tool	tumor_bam_required	normal_bam_required	tumor_vcf_required	normal_vcf_required	snp_pileup_required	matched_normal_available_unknown	current_available_inputs	missing_required_inputs	recommended_command_template	notes
TCGA-AP-A054-01A	TCGA-AP-A054	TCGA-UCEC	UCEC	FACETS	True	True	False	False	True	True	segment_mean_cn;somatic_mutation_ref_alt_counts;purity_ploidy	tumor_bam_or_precomputed_tumor_snp_counts;matched_normal_bam_or_precomputed_normal_snp_counts;snp_pileup_or_equivalent_allele_count_input	<snp-pileup> <common_snp_vcf.gz> <sample_counts.csv.gz> <normal.bam> <tumor.bam>; Rscript <facets_wrapper.R> <sample_counts.csv.gz> <output_dir>	placeholder_command_requires_tool_version_reference_build_common_snp_resource_and_manual_qc;do_not_assume_bams_exist;do_not_run_pyclone_vi_or_phylowgs_in_this_step
TCGA-50-5930-01A	TCGA-50-5930	TCGA-LUAD	LUAD	FACETS	True	True	False	False	True	True	segment_mean_cn;somatic_mutation_ref_alt_counts;purity_ploidy	tumor_bam_or_precomputed_tumor_snp_counts;matched_normal_bam_or_precomputed_normal_snp_counts;snp_pileup_or_equivalent_allele_count_input	<snp-pileup> <common_snp_vcf.gz> <sample_counts.csv.gz> <normal.bam> <tumor.bam>; Rscript <facets_wrapper.R> <sample_counts.csv.gz> <output_dir>	placeholder_command_requires_tool_version_reference_build_common_snp_resource_and_manual_qc;do_not_assume_bams_exist;do_not_run_pyclone_vi_or_phylowgs_in_this_step
TCGA-DX-A6YV-01A	TCGA-DX-A6YV	TCGA-SARC	SARC	FACETS	True	True	False	False	True	True	segment_mean_cn;somatic_mutation_ref_alt_counts;purity_ploidy	tumor_bam_or_precomputed_tumor_snp_counts;matched_normal_bam_or_precomputed_normal_snp_counts;snp_pileup_or_equivalent_allele_count_input	<snp-pileup> <common_snp_vcf.gz> <sample_counts.csv.gz> <normal.bam> <tumor.bam>; Rscript <facets_wrapper.R> <sample_counts.csv.gz> <output_dir>	placeholder_command_requires_tool_version_reference_build_common_snp_resource_and_manual_qc;do_not_assume_bams_exist;do_not_run_pyclone_vi_or_phylowgs_in_this_step
TCGA-DK-A6AW-01A	TCGA-DK-A6AW	TCGA-BLCA	BLCA	FACETS	True	True	False	False	True	True	segment_mean_cn;somatic_mutation_ref_alt_counts;purity_ploidy	tumor_bam_or_precomputed_tumor_snp_counts;matched_normal_bam_or_precomputed_normal_snp_counts;snp_pileup_or_equivalent_allele_count_input	<snp-pileup> <common_snp_vcf.gz> <sample_counts.csv.gz> <normal.bam> <tumor.bam>; Rscript <facets_wrapper.R> <sample_counts.csv.gz> <output_dir>	placeholder_command_requires_tool_version_reference_build_common_snp_resource_and_manual_qc;do_not_assume_bams_exist;do_not_run_pyclone_vi_or_phylowgs_in_this_step
TCGA-D1-A177-01A	TCGA-D1-A177	TCGA-UCEC	UCEC	FACETS	True	True	False	False	True	True	segment_mean_cn;somatic_mutation_ref_alt_counts;purity_ploidy	tumor_bam_or_precomputed_tumor_snp_counts;matched_normal_bam_or_precomputed_normal_snp_counts;snp_pileup_or_equivalent_allele_count_input	<snp-pileup> <common_snp_vcf.gz> <sample_counts.csv.gz> <normal.bam> <tumor.bam>; Rscript <facets_wrapper.R> <sample_counts.csv.gz> <output_dir>	placeholder_command_requires_tool_version_reference_build_common_snp_resource_and_manual_qc;do_not_assume_bams_exist;do_not_run_pyclone_vi_or_phylowgs_in_this_step
TCGA-AX-A0J0-01A	TCGA-AX-A0J0	TCGA-UCEC	UCEC	FACETS	True	True	False	False	True	True	segment_mean_cn;somatic_mutation_ref_alt_counts;purity_ploidy	tumor_bam_or_precomputed_tumor_snp_counts;matched_normal_bam_or_precomputed_normal_snp_counts;snp_pileup_or_equivalent_allele_count_input	<snp-pileup> <common_snp_vcf.gz> <sample_counts.csv.gz> <normal.bam> <tumor.bam>; Rscript <facets_wrapper.R> <sample_counts.csv.gz> <output_dir>	placeholder_command_requires_tool_version_reference_build_common_snp_resource_and_manual_qc;do_not_assume_bams_exist;do_not_run_pyclone_vi_or_phylowgs_in_this_step
TCGA-EY-A1GI-01A	TCGA-EY-A1GI	TCGA-UCEC	UCEC	FACETS	True	True	False	False	True	True	segment_mean_cn;somatic_mutation_ref_alt_counts;purity_ploidy	tumor_bam_or_precomputed_tumor_snp_counts;matched_normal_bam_or_precomputed_normal_snp_counts;snp_pileup_or_equivalent_allele_count_input	<snp-pileup> <common_snp_vcf.gz> <sample_counts.csv.gz> <normal.bam> <tumor.bam>; Rscript <facets_wrapper.R> <sample_counts.csv.gz> <output_dir>	placeholder_command_requires_tool_version_reference_build_common_snp_resource_and_manual_qc;do_not_assume_bams_exist;do_not_run_pyclone_vi_or_phylowgs_in_this_step
TCGA-D1-A167-01A	TCGA-D1-A167	TCGA-UCEC	UCEC	FACETS	True	True	False	False	True	True	segment_mean_cn;somatic_mutation_ref_alt_counts;purity_ploidy	tumor_bam_or_precomputed_tumor_snp_counts;matched_normal_bam_or_precomputed_normal_snp_counts;snp_pileup_or_equivalent_allele_count_input	<snp-pileup> <common_snp_vcf.gz> <sample_counts.csv.gz> <normal.bam> <tumor.bam>; Rscript <facets_wrapper.R> <sample_counts.csv.gz> <output_dir>	placeholder_command_requires_tool_version_reference_build_common_snp_resource_and_manual_qc;do_not_assume_bams_exist;do_not_run_pyclone_vi_or_phylowgs_in_this_step
TCGA-AX-A2HA-01A	TCGA-AX-A2HA	TCGA-UCEC	UCEC	FACETS	True	True	False	False	True	True	segment_mean_cn;somatic_mutation_ref_alt_counts;purity_ploidy	tumor_bam_or_precomputed_tumor_snp_counts;matched_normal_bam_or_precomputed_normal_snp_counts;snp_pileup_or_equivalent_allele_count_input	<snp-pileup> <common_snp_vcf.gz> <sample_counts.csv.gz> <normal.bam> <tumor.bam>; Rscript <facets_wrapper.R> <sample_counts.csv.gz> <output_dir>	placeholder_command_requires_tool_version_reference_build_common_snp_resource_and_manual_qc;do_not_assume_bams_exist;do_not_run_pyclone_vi_or_phylowgs_in_this_step
TCGA-AD-6889-01A	TCGA-AD-6889	TCGA-COAD	COAD	FACETS	True	True	False	False	True	True	segment_mean_cn;somatic_mutation_ref_alt_counts;purity_ploidy	tumor_bam_or_precomputed_tumor_snp_counts;matched_normal_bam_or_precomputed_normal_snp_counts;snp_pileup_or_equivalent_allele_count_input	<snp-pileup> <common_snp_vcf.gz> <sample_counts.csv.gz> <normal.bam> <tumor.bam>; Rscript <facets_wrapper.R> <sample_counts.csv.gz> <output_dir>	placeholder_command_requires_tool_version_reference_build_common_snp_resource_and_manual_qc;do_not_assume_bams_exist;do_not_run_pyclone_vi_or_phylowgs_in_this_step
TCGA-AZ-6598-01A	TCGA-AZ-6598	TCGA-COAD	COAD	FACETS	True	True	False	False	True	True	segment_mean_cn;somatic_mutation_ref_alt_counts;purity_ploidy	tumor_bam_or_precomputed_tumor_snp_counts;matched_normal_bam_or_precomputed_normal_snp_counts;snp_pileup_or_equivalent_allele_count_input	<snp-pileup> <common_snp_vcf.gz> <sample_counts.csv.gz> <normal.bam> <tumor.bam>; Rscript <facets_wrapper.R> <sample_counts.csv.gz> <output_dir>	placeholder_command_requires_tool_version_reference_build_common_snp_resource_and_manual_qc;do_not_assume_bams_exist;do_not_run_pyclone_vi_or_phylowgs_in_this_step
TCGA-CK-6746-01A	TCGA-CK-6746	TCGA-COAD	COAD	FACETS	True	True	False	False	True	True	segment_mean_cn;somatic_mutation_ref_alt_counts;purity_ploidy	tumor_bam_or_precomputed_tumor_snp_counts;matched_normal_bam_or_precomputed_normal_snp_counts;snp_pileup_or_equivalent_allele_count_input	<snp-pileup> <common_snp_vcf.gz> <sample_counts.csv.gz> <normal.bam> <tumor.bam>; Rscript <facets_wrapper.R> <sample_counts.csv.gz> <output_dir>	placeholder_command_requires_tool_version_reference_build_common_snp_resource_and_manual_qc;do_not_assume_bams_exist;do_not_run_pyclone_vi_or_phylowgs_in_this_step
TCGA-L9-A7SV-01A	TCGA-L9-A7SV	TCGA-LUAD	LUAD	FACETS	True	True	False	False	True	True	segment_mean_cn;somatic_mutation_ref_alt_counts;purity_ploidy	tumor_bam_or_precomputed_tumor_snp_counts;matched_normal_bam_or_precomputed_normal_snp_counts;snp_pileup_or_equivalent_allele_count_input	<snp-pileup> <common_snp_vcf.gz> <sample_counts.csv.gz> <normal.bam> <tumor.bam>; Rscript <facets_wrapper.R> <sample_counts.csv.gz> <output_dir>	placeholder_command_requires_tool_version_reference_build_common_snp_resource_and_manual_qc;do_not_assume_bams_exist;do_not_run_pyclone_vi_or_phylowgs_in_this_step
TCGA-AG-A02N-01A	TCGA-AG-A02N	TCGA-READ	READ	FACETS	True	True	False	False	True	True	segment_mean_cn;somatic_mutation_ref_alt_counts;purity_ploidy	tumor_bam_or_precomputed_tumor_snp_counts;matched_normal_bam_or_precomputed_normal_snp_counts;snp_pileup_or_equivalent_allele_count_input	<snp-pileup> <common_snp_vcf.gz> <sample_counts.csv.gz> <normal.bam> <tumor.bam>; Rscript <facets_wrapper.R> <sample_counts.csv.gz> <output_dir>	placeholder_command_requires_tool_version_reference_build_common_snp_resource_and_manual_qc;do_not_assume_bams_exist;do_not_run_pyclone_vi_or_phylowgs_in_this_step
TCGA-AG-A002-01A	TCGA-AG-A002	TCGA-READ	READ	FACETS	True	True	False	False	True	True	segment_mean_cn;somatic_mutation_ref_alt_counts;purity_ploidy	tumor_bam_or_precomputed_tumor_snp_counts;matched_normal_bam_or_precomputed_normal_snp_counts;snp_pileup_or_equivalent_allele_count_input	<snp-pileup> <common_snp_vcf.gz> <sample_counts.csv.gz> <normal.bam> <tumor.bam>; Rscript <facets_wrapper.R> <sample_counts.csv.gz> <output_dir>	placeholder_command_requires_tool_version_reference_build_common_snp_resource_and_manual_qc;do_not_assume_bams_exist;do_not_run_pyclone_vi_or_phylowgs_in_this_step
TCGA-78-7155-01A	TCGA-78-7155	TCGA-LUAD	LUAD	FACETS	True	True	False	False	True	True	segment_mean_cn;somatic_mutation_ref_alt_counts;purity_ploidy	tumor_bam_or_precomputed_tumor_snp_counts;matched_normal_bam_or_precomputed_normal_snp_counts;snp_pileup_or_equivalent_allele_count_input	<snp-pileup> <common_snp_vcf.gz> <sample_counts.csv.gz> <normal.bam> <tumor.bam>; Rscript <facets_wrapper.R> <sample_counts.csv.gz> <output_dir>	placeholder_command_requires_tool_version_reference_build_common_snp_resource_and_manual_qc;do_not_assume_bams_exist;do_not_run_pyclone_vi_or_phylowgs_in_this_step
TCGA-05-4396-01A	TCGA-05-4396	TCGA-LUAD	LUAD	FACETS	True	True	False	False	True	True	segment_mean_cn;somatic_mutation_ref_alt_counts;purity_ploidy	tumor_bam_or_precomputed_tumor_snp_counts;matched_normal_bam_or_precomputed_normal_snp_counts;snp_pileup_or_equivalent_allele_count_input	<snp-pileup> <common_snp_vcf.gz> <sample_counts.csv.gz> <normal.bam> <tumor.bam>; Rscript <facets_wrapper.R> <sample_counts.csv.gz> <output_dir>	placeholder_command_requires_tool_version_reference_build_common_snp_resource_and_manual_qc;do_not_assume_bams_exist;do_not_run_pyclone_vi_or_phylowgs_in_this_step
TCGA-AA-3492-01A	TCGA-AA-3492	TCGA-COAD	COAD	FACETS	True	True	False	False	True	True	segment_mean_cn;somatic_mutation_ref_alt_counts;purity_ploidy	tumor_bam_or_precomputed_tumor_snp_counts;matched_normal_bam_or_precomputed_normal_snp_counts;snp_pileup_or_equivalent_allele_count_input	<snp-pileup> <common_snp_vcf.gz> <sample_counts.csv.gz> <normal.bam> <tumor.bam>; Rscript <facets_wrapper.R> <sample_counts.csv.gz> <output_dir>	placeholder_command_requires_tool_version_reference_build_common_snp_resource_and_manual_qc;do_not_assume_bams_exist;do_not_run_pyclone_vi_or_phylowgs_in_this_step
TCGA-A6-6653-01A	TCGA-A6-6653	TCGA-COAD	COAD	FACETS	True	True	False	False	True	True	segment_mean_cn;somatic_mutation_ref_alt_counts;purity_ploidy	tumor_bam_or_precomputed_tumor_snp_counts;matched_normal_bam_or_precomputed_normal_snp_counts;snp_pileup_or_equivalent_allele_count_input	<snp-pileup> <common_snp_vcf.gz> <sample_counts.csv.gz> <normal.bam> <tumor.bam>; Rscript <facets_wrapper.R> <sample_counts.csv.gz> <output_dir>	placeholder_command_requires_tool_version_reference_build_common_snp_resource_and_manual_qc;do_not_assume_bams_exist;do_not_run_pyclone_vi_or_phylowgs_in_this_step
TCGA-G2-A3VY-01A	TCGA-G2-A3VY	TCGA-BLCA	BLCA	FACETS	True	True	False	False	True	True	segment_mean_cn;somatic_mutation_ref_alt_counts;purity_ploidy	tumor_bam_or_precomputed_tumor_snp_counts;matched_normal_bam_or_precomputed_normal_snp_counts;snp_pileup_or_equivalent_allele_count_input	<snp-pileup> <common_snp_vcf.gz> <sample_counts.csv.gz> <normal.bam> <tumor.bam>; Rscript <facets_wrapper.R> <sample_counts.csv.gz> <output_dir>	placeholder_command_requires_tool_version_reference_build_common_snp_resource_and_manual_qc;do_not_assume_bams_exist;do_not_run_pyclone_vi_or_phylowgs_in_this_step
TCGA-AY-6197-01A	TCGA-AY-6197	TCGA-COAD	COAD	FACETS	True	True	False	False	True	True	segment_mean_cn;somatic_mutation_ref_alt_counts;purity_ploidy	tumor_bam_or_precomputed_tumor_snp_counts;matched_normal_bam_or_precomputed_normal_snp_counts;snp_pileup_or_equivalent_allele_count_input	<snp-pileup> <common_snp_vcf.gz> <sample_counts.csv.gz> <normal.bam> <tumor.bam>; Rscript <facets_wrapper.R> <sample_counts.csv.gz> <output_dir>	placeholder_command_requires_tool_version_reference_build_common_snp_resource_and_manual_qc;do_not_assume_bams_exist;do_not_run_pyclone_vi_or_phylowgs_in_this_step
TCGA-05-4397-01A	TCGA-05-4397	TCGA-LUAD	LUAD	FACETS	True	True	False	False	True	True	segment_mean_cn;somatic_mutation_ref_alt_counts;purity_ploidy	tumor_bam_or_precomputed_tumor_snp_counts;matched_normal_bam_or_precomputed_normal_snp_counts;snp_pileup_or_equivalent_allele_count_input	<snp-pileup> <common_snp_vcf.gz> <sample_counts.csv.gz> <normal.bam> <tumor.bam>; Rscript <facets_wrapper.R> <sample_counts.csv.gz> <output_dir>	placeholder_command_requires_tool_version_reference_build_common_snp_resource_and_manual_qc;do_not_assume_bams_exist;do_not_run_pyclone_vi_or_phylowgs_in_this_step
TCGA-NH-A5IV-01A	TCGA-NH-A5IV	TCGA-COAD	COAD	FACETS	True	True	False	False	True	True	segment_mean_cn;somatic_mutation_ref_alt_counts;purity_ploidy	tumor_bam_or_precomputed_tumor_snp_counts;matched_normal_bam_or_precomputed_normal_snp_counts;snp_pileup_or_equivalent_allele_count_input	<snp-pileup> <common_snp_vcf.gz> <sample_counts.csv.gz> <normal.bam> <tumor.bam>; Rscript <facets_wrapper.R> <sample_counts.csv.gz> <output_dir>	placeholder_command_requires_tool_version_reference_build_common_snp_resource_and_manual_qc;do_not_assume_bams_exist;do_not_run_pyclone_vi_or_phylowgs_in_this_step
TCGA-AA-3663-01A	TCGA-AA-3663	TCGA-COAD	COAD	FACETS	True	True	False	False	True	True	segment_mean_cn;somatic_mutation_ref_alt_counts;purity_ploidy	tumor_bam_or_precomputed_tumor_snp_counts;matched_normal_bam_or_precomputed_normal_snp_counts;snp_pileup_or_equivalent_allele_count_input	<snp-pileup> <common_snp_vcf.gz> <sample_counts.csv.gz> <normal.bam> <tumor.bam>; Rscript <facets_wrapper.R> <sample_counts.csv.gz> <output_dir>	placeholder_command_requires_tool_version_reference_build_common_snp_resource_and_manual_qc;do_not_assume_bams_exist;do_not_run_pyclone_vi_or_phylowgs_in_this_step
TCGA-EI-6882-01A	TCGA-EI-6882	TCGA-READ	READ	FACETS	True	True	False	False	True	True	segment_mean_cn;somatic_mutation_ref_alt_counts;purity_ploidy	tumor_bam_or_precomputed_tumor_snp_counts;matched_normal_bam_or_precomputed_normal_snp_counts;snp_pileup_or_equivalent_allele_count_input	<snp-pileup> <common_snp_vcf.gz> <sample_counts.csv.gz> <normal.bam> <tumor.bam>; Rscript <facets_wrapper.R> <sample_counts.csv.gz> <output_dir>	placeholder_command_requires_tool_version_reference_build_common_snp_resource_and_manual_qc;do_not_assume_bams_exist;do_not_run_pyclone_vi_or_phylowgs_in_this_step
TCGA-78-8662-01A	TCGA-78-8662	TCGA-LUAD	LUAD	FACETS	True	True	False	False	True	True	segment_mean_cn;somatic_mutation_ref_alt_counts;purity_ploidy	tumor_bam_or_precomputed_tumor_snp_counts;matched_normal_bam_or_precomputed_normal_snp_counts;snp_pileup_or_equivalent_allele_count_input	<snp-pileup> <common_snp_vcf.gz> <sample_counts.csv.gz> <normal.bam> <tumor.bam>; Rscript <facets_wrapper.R> <sample_counts.csv.gz> <output_dir>	placeholder_command_requires_tool_version_reference_build_common_snp_resource_and_manual_qc;do_not_assume_bams_exist;do_not_run_pyclone_vi_or_phylowgs_in_this_step
TCGA-GD-A2C5-01A	TCGA-GD-A2C5	TCGA-BLCA	BLCA	FACETS	True	True	False	False	True	True	segment_mean_cn;somatic_mutation_ref_alt_counts;purity_ploidy	tumor_bam_or_precomputed_tumor_snp_counts;matched_normal_bam_or_precomputed_normal_snp_counts;snp_pileup_or_equivalent_allele_count_input	<snp-pileup> <common_snp_vcf.gz> <sample_counts.csv.gz> <normal.bam> <tumor.bam>; Rscript <facets_wrapper.R> <sample_counts.csv.gz> <output_dir>	placeholder_command_requires_tool_version_reference_build_common_snp_resource_and_manual_qc;do_not_assume_bams_exist;do_not_run_pyclone_vi_or_phylowgs_in_this_step
TCGA-50-5946-02A	TCGA-50-5946	TCGA-LUAD	LUAD	FACETS	True	True	False	False	True	True	segment_mean_cn;somatic_mutation_ref_alt_counts;purity_ploidy	tumor_bam_or_precomputed_tumor_snp_counts;matched_normal_bam_or_precomputed_normal_snp_counts;snp_pileup_or_equivalent_allele_count_input	<snp-pileup> <common_snp_vcf.gz> <sample_counts.csv.gz> <normal.bam> <tumor.bam>; Rscript <facets_wrapper.R> <sample_counts.csv.gz> <output_dir>	placeholder_command_requires_tool_version_reference_build_common_snp_resource_and_manual_qc;do_not_assume_bams_exist;do_not_run_pyclone_vi_or_phylowgs_in_this_step
TCGA-62-A46O-01A	TCGA-62-A46O	TCGA-LUAD	LUAD	FACETS	True	True	False	False	True	True	segment_mean_cn;somatic_mutation_ref_alt_counts;purity_ploidy	tumor_bam_or_precomputed_tumor_snp_counts;matched_normal_bam_or_precomputed_normal_snp_counts;snp_pileup_or_equivalent_allele_count_input	<snp-pileup> <common_snp_vcf.gz> <sample_counts.csv.gz> <normal.bam> <tumor.bam>; Rscript <facets_wrapper.R> <sample_counts.csv.gz> <output_dir>	placeholder_command_requires_tool_version_reference_build_common_snp_resource_and_manual_qc;do_not_assume_bams_exist;do_not_run_pyclone_vi_or_phylowgs_in_this_step
TCGA-KQ-A41N-01A	TCGA-KQ-A41N	TCGA-BLCA	BLCA	FACETS	True	True	False	False	True	True	segment_mean_cn;somatic_mutation_ref_alt_counts;purity_ploidy	tumor_bam_or_precomputed_tumor_snp_counts;matched_normal_bam_or_precomputed_normal_snp_counts;snp_pileup_or_equivalent_allele_count_input	<snp-pileup> <common_snp_vcf.gz> <sample_counts.csv.gz> <normal.bam> <tumor.bam>; Rscript <facets_wrapper.R> <sample_counts.csv.gz> <output_dir>	placeholder_command_requires_tool_version_reference_build_common_snp_resource_and_manual_qc;do_not_assume_bams_exist;do_not_run_pyclone_vi_or_phylowgs_in_this_step
TCGA-MV-A51V-01A	TCGA-MV-A51V	TCGA-BLCA	BLCA	FACETS	True	True	False	False	True	True	segment_mean_cn;somatic_mutation_ref_alt_counts;purity_ploidy	tumor_bam_or_precomputed_tumor_snp_counts;matched_normal_bam_or_precomputed_normal_snp_counts;snp_pileup_or_equivalent_allele_count_input	<snp-pileup> <common_snp_vcf.gz> <sample_counts.csv.gz> <normal.bam> <tumor.bam>; Rscript <facets_wrapper.R> <sample_counts.csv.gz> <output_dir>	placeholder_command_requires_tool_version_reference_build_common_snp_resource_and_manual_qc;do_not_assume_bams_exist;do_not_run_pyclone_vi_or_phylowgs_in_this_step
TCGA-N7-A4Y0-01A	TCGA-N7-A4Y0	TCGA-UCS	UCS	FACETS	True	True	False	False	True	True	segment_mean_cn;somatic_mutation_ref_alt_counts;purity_ploidy	tumor_bam_or_precomputed_tumor_snp_counts;matched_normal_bam_or_precomputed_normal_snp_counts;snp_pileup_or_equivalent_allele_count_input	<snp-pileup> <common_snp_vcf.gz> <sample_counts.csv.gz> <normal.bam> <tumor.bam>; Rscript <facets_wrapper.R> <sample_counts.csv.gz> <output_dir>	placeholder_command_requires_tool_version_reference_build_common_snp_resource_and_manual_qc;do_not_assume_bams_exist;do_not_run_pyclone_vi_or_phylowgs_in_this_step
