feature_name	feature_type	feature_class	source_layer	n_samples	n_observed	n_missing	missing_fraction	missingness_threshold	retained	drop_reason	imputation_median
driver_mutation_PMS2	binary	driver_mutation_binary	somatic_mutation	10201	10201	0	0.0	0.3	True		0.0
driver_mutation_BRCA1	binary	driver_mutation_binary	somatic_mutation	10201	10201	0	0.0	0.3	True		0.0
driver_mutation_BRCA2	binary	driver_mutation_binary	somatic_mutation	10201	10201	0	0.0	0.3	True		0.0
driver_mutation_count_TP53	count	driver_mutation_count	somatic_mutation	10201	10201	0	0.0	0.3	True		0.0
driver_mutation_count_KRAS	count	driver_mutation_count	somatic_mutation	10201	10201	0	0.0	0.3	True		0.0
driver_mutation_count_BRAF	count	driver_mutation_count	somatic_mutation	10201	10201	0	0.0	0.3	True		0.0
driver_mutation_count_IDH1	count	driver_mutation_count	somatic_mutation	10201	10201	0	0.0	0.3	True		0.0
driver_mutation_count_IDH2	count	driver_mutation_count	somatic_mutation	10201	10201	0	0.0	0.3	True		0.0
driver_mutation_count_PIK3CA	count	driver_mutation_count	somatic_mutation	10201	10201	0	0.0	0.3	True		0.0
driver_mutation_count_APC	count	driver_mutation_count	somatic_mutation	10201	10201	0	0.0	0.3	True		0.0
driver_mutation_count_PTEN	count	driver_mutation_count	somatic_mutation	10201	10201	0	0.0	0.3	True		0.0
driver_mutation_count_NF1	count	driver_mutation_count	somatic_mutation	10201	10201	0	0.0	0.3	True		0.0
driver_mutation_count_BAP1	count	driver_mutation_count	somatic_mutation	10201	10201	0	0.0	0.3	True		0.0
driver_mutation_count_VHL	count	driver_mutation_count	somatic_mutation	10201	10201	0	0.0	0.3	True		0.0
driver_mutation_count_RB1	count	driver_mutation_count	somatic_mutation	10201	10201	0	0.0	0.3	True		0.0
driver_mutation_count_CDKN2A	count	driver_mutation_count	somatic_mutation	10201	10201	0	0.0	0.3	True		0.0
driver_mutation_count_SMAD4	count	driver_mutation_count	somatic_mutation	10201	10201	0	0.0	0.3	True		0.0
driver_mutation_count_ARID1A	count	driver_mutation_count	somatic_mutation	10201	10201	0	0.0	0.3	True		0.0
driver_mutation_count_TERT	count	driver_mutation_count	somatic_mutation	10201	10201	0	0.0	0.3	True		0.0
driver_mutation_count_EGFR	count	driver_mutation_count	somatic_mutation	10201	10201	0	0.0	0.3	True		0.0
driver_mutation_count_ERBB2	count	driver_mutation_count	somatic_mutation	10201	10201	0	0.0	0.3	True		0.0
driver_mutation_count_ALK	count	driver_mutation_count	somatic_mutation	10201	10201	0	0.0	0.3	True		0.0
driver_mutation_count_MET	count	driver_mutation_count	somatic_mutation	10201	10201	0	0.0	0.3	True		0.0
driver_mutation_count_MYC	count	driver_mutation_count	somatic_mutation	10201	10201	0	0.0	0.3	True		0.0
driver_mutation_count_CTNNB1	count	driver_mutation_count	somatic_mutation	10201	10201	0	0.0	0.3	True		0.0
driver_mutation_count_POLE	count	driver_mutation_count	somatic_mutation	10201	10201	0	0.0	0.3	True		0.0
driver_mutation_count_MSH2	count	driver_mutation_count	somatic_mutation	10201	10201	0	0.0	0.3	True		0.0
driver_mutation_count_MSH6	count	driver_mutation_count	somatic_mutation	10201	10201	0	0.0	0.3	True		0.0
driver_mutation_count_MLH1	count	driver_mutation_count	somatic_mutation	10201	10201	0	0.0	0.3	True		0.0
driver_mutation_count_PMS2	count	driver_mutation_count	somatic_mutation	10201	10201	0	0.0	0.3	True		0.0
driver_mutation_count_BRCA1	count	driver_mutation_count	somatic_mutation	10201	10201	0	0.0	0.3	True		0.0
driver_mutation_count_BRCA2	count	driver_mutation_count	somatic_mutation	10201	10201	0	0.0	0.3	True		0.0
purity	continuous	purity_ploidy	purity_ploidy	10201	9516	685	0.06715027938437408	0.3	True		0.65
ploidy	continuous	purity_ploidy	purity_ploidy	10201	9516	685	0.06715027938437408	0.3	True		2.06
aneuploidy_score	continuous	copy_number_aneuploidy	aneuploidy_arm_level_copy_number	10201	9667	534	0.05234780903832958	0.3	True		8.0
arm_gain_count	count	copy_number_aneuploidy	aneuploidy_arm_level_copy_number	10201	9667	534	0.05234780903832958	0.3	True		3.0
arm_loss_count	count	copy_number_aneuploidy	aneuploidy_arm_level_copy_number	10201	9667	534	0.05234780903832958	0.3	True		4.0
total_arm_alteration_count	count	copy_number_aneuploidy	aneuploidy_arm_level_copy_number	10201	9667	534	0.05234780903832958	0.3	True		8.0
proliferation_score	continuous	expression_pathway_score	expression_pathway	10201	9565	636	0.06234682874228017	0.3	True		-0.160542614529844
immune_inflammatory_score	continuous	expression_pathway_score	expression_pathway	10201	9565	636	0.06234682874228017	0.3	True		-0.206500534790086
interferon_gamma_score	continuous	expression_pathway_score	expression_pathway	10201	9565	636	0.06234682874228017	0.3	True		-0.24370277799356
cytotoxic_t_cell_score	continuous	expression_pathway_score	expression_pathway	10201	9565	636	0.06234682874228017	0.3	True		-0.199148939441671
stromal_score	continuous	expression_pathway_score	expression_pathway	10201	9565	636	0.06234682874228017	0.3	True		-0.244432563050075
epithelial_score	continuous	expression_pathway_score	expression_pathway	10201	9565	636	0.06234682874228017	0.3	True		-0.0763956426729601
EMT_score	continuous	expression_pathway_score	expression_pathway	10201	9565	636	0.06234682874228017	0.3	True		-0.125908551871852
hypoxia_score	continuous	expression_pathway_score	expression_pathway	10201	9565	636	0.06234682874228017	0.3	True		-0.207717338046092
cell_cycle_score	continuous	expression_pathway_score	expression_pathway	10201	9565	636	0.06234682874228017	0.3	True		-0.156540719749736
DNA_repair_score	continuous	expression_pathway_score	expression_pathway	10201	9565	636	0.06234682874228017	0.3	True		-0.142940973448067
angiogenesis_score	continuous	expression_pathway_score	expression_pathway	10201	9565	636	0.06234682874228017	0.3	True		-0.21865719595759
expression_pca_PC1	continuous	expression_pca	expression_pca	10201	9565	636	0.06234682874228017	0.3	True		0.474852008759554
expression_pca_PC2	continuous	expression_pca	expression_pca	10201	9565	636	0.06234682874228017	0.3	True		0.65592478769114
expression_pca_PC3	continuous	expression_pca	expression_pca	10201	9565	636	0.06234682874228017	0.3	True		-0.290777182301992
expression_pca_PC4	continuous	expression_pca	expression_pca	10201	9565	636	0.06234682874228017	0.3	True		-0.0098781616955018
expression_pca_PC5	continuous	expression_pca	expression_pca	10201	9565	636	0.06234682874228017	0.3	True		0.199328905832747
expression_pca_PC6	continuous	expression_pca	expression_pca	10201	9565	636	0.06234682874228017	0.3	True		-0.0661584828885532
expression_pca_PC7	continuous	expression_pca	expression_pca	10201	9565	636	0.06234682874228017	0.3	True		0.0435137544009044
expression_pca_PC8	continuous	expression_pca	expression_pca	10201	9565	636	0.06234682874228017	0.3	True		0.110712666124044
expression_pca_PC9	continuous	expression_pca	expression_pca	10201	9565	636	0.06234682874228017	0.3	True		0.0925479280768621
expression_pca_PC10	continuous	expression_pca	expression_pca	10201	9565	636	0.06234682874228017	0.3	True		-0.110864614240509
expression_pca_PC11	continuous	expression_pca	expression_pca	10201	9565	636	0.06234682874228017	0.3	True		-0.101485969995412
expression_pca_PC12	continuous	expression_pca	expression_pca	10201	9565	636	0.06234682874228017	0.3	True		-0.0109325425752674
expression_pca_PC13	continuous	expression_pca	expression_pca	10201	9565	636	0.06234682874228017	0.3	True		-0.0368949510295076
expression_pca_PC14	continuous	expression_pca	expression_pca	10201	9565	636	0.06234682874228017	0.3	True		0.106646399338705
expression_pca_PC15	continuous	expression_pca	expression_pca	10201	9565	636	0.06234682874228017	0.3	True		-0.07730143906615
expression_pca_PC16	continuous	expression_pca	expression_pca	10201	9565	636	0.06234682874228017	0.3	True		0.0151564429574472
expression_pca_PC17	continuous	expression_pca	expression_pca	10201	9565	636	0.06234682874228017	0.3	True		-0.0456142343152551
expression_pca_PC18	continuous	expression_pca	expression_pca	10201	9565	636	0.06234682874228017	0.3	True		-0.0099033215943812
expression_pca_PC19	continuous	expression_pca	expression_pca	10201	9565	636	0.06234682874228017	0.3	True		0.100799431466439
expression_pca_PC20	continuous	expression_pca	expression_pca	10201	9565	636	0.06234682874228017	0.3	True		-0.0138134058888389
